technology,parameter,value,unit,source
CCGT,FOM,2.5,%/year,DIW DataDoc http://hdl.handle.net/10419/80348
CCGT,VOM,4,EUR/MWhel,DIW DataDoc http://hdl.handle.net/10419/80348
CCGT,efficiency,0.5,per unit,DIW DataDoc http://hdl.handle.net/10419/80348
CCGT,investment,800,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348
CCGT,lifetime,30,years,IEA2010
HVAC overhead,FOM,2,%/year,Hagspiel
HVAC overhead,investment,400,EUR/MW/km,Hagspiel
HVAC overhead,lifetime,40,years,Hagspiel
HVDC inverter pair,FOM,2,%/year,Hagspiel
HVDC inverter pair,investment,150000,EUR/MW,Hagspiel
HVDC inverter pair,lifetime,40,years,Hagspiel
HVDC overhead,FOM,2,%/year,Hagspiel
HVDC overhead,investment,400,EUR/MW/km,Hagspiel
HVDC overhead,lifetime,40,years,Hagspiel
HVDC submarine,FOM,2,%/year,Hagspiel
HVDC submarine,investment,2000,EUR/MW/km,DTU report based on Fig 34 of https://ec.europa.eu/energy/sites/ener/files/documents/2014_nsog_report.pdf
HVDC submarine,lifetime,40,years,Hagspiel
OCGT,FOM,3.75,%/year,DIW DataDoc http://hdl.handle.net/10419/80348
OCGT,VOM,3,EUR/MWhel,DIW DataDoc http://hdl.handle.net/10419/80348
OCGT,efficiency,0.39,per unit,DIW DataDoc http://hdl.handle.net/10419/80348
OCGT,investment,400,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348
OCGT,lifetime,30,years,IEA2010
PHS,FOM,1,%/year,DIW DataDoc http://hdl.handle.net/10419/80348
PHS,efficiency,0.75,per unit,DIW DataDoc http://hdl.handle.net/10419/80348
PHS,investment,2000,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348
PHS,lifetime,80,years,IEA2010
battery inverter,FOM,3,%/year,budischak2013
battery inverter,efficiency,,per unit,
battery inverter,investment,,EUR/kWel,
battery inverter,lifetime,,years,
battery storage,investment,,EUR/kWh,
battery storage,lifetime,,years,
coal,CO2 intensity,0.354,tCO2/MWth,https://www.eia.gov/environment/emissions/co2_vol_mass.php
coal,FOM,1.923076,%/year,DIW DataDoc http://hdl.handle.net/10419/80348 PC (Advanced/SuperC)
coal,VOM,6,EUR/MWhel,DIW DataDoc http://hdl.handle.net/10419/80348 PC (Advanced/SuperC)
coal,efficiency,0.464,per unit,DIW DataDoc http://hdl.handle.net/10419/80348 PC (Advanced/SuperC)
coal,fuel,8.4,EUR/MWhth,IEA2011b
coal,investment,1300,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348 PC (Advanced/SuperC)
coal,lifetime,40,years,IEA2010
electrolysis,FOM,4,%/year,NREL http://www.nrel.gov/docs/fy09osti/45873.pdf; budischak2013
electrolysis,efficiency,0.8,per unit,NREL http://www.nrel.gov/docs/fy09osti/45873.pdf; budischak2013
electrolysis,investment,350,EUR/kWel,Palzer Thesis
electrolysis,lifetime,18,years,NREL http://www.nrel.gov/docs/fy09osti/45873.pdf; budischak2013
